,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
0,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1",False,4,"[False, False, True, True]","[False, False, True, True]","[-14, -5, 0, 0]","[[-25, 15, 5, 0], [15, -9, 0, 3], [5, 0, -1, 0], [0, 3, 0, -1]]","[[0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 3, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]]",104,-225,66
1,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0",False,4,"[False, False, False, True]","[False, False, False, True]","[-9, -5, -2, 0]","[[-16, 12, 0, 0], [12, -9, 6, 0], [0, 6, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 3, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",105,-576,67
2,"0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1",False,4,"[False, False, True, True]","[False, False, True, True]","[-9, -5, 0, 0]","[[-16, 12, 0, 0], [12, -9, 3, 3], [0, 3, -1, 0], [0, 3, 0, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 3, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",101,-144,63
3,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0",False,4,"[False, False, False, True]","[False, False, False, True]","[-14, -2, -2, 0]","[[-25, 10, 10, 0], [10, -4, 0, 0], [10, 0, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0]]",108,-400,70
4,"0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1",False,4,"[False, False, True, True]","[False, False, True, True]","[-14, -2, 0, 0]","[[-25, 10, 5, 5], [10, -4, 0, 0], [5, 0, -1, 0], [5, 0, 0, 0]]","[[0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 0]]",103,-100,65
5,"0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0",False,3,"[False, False, True]","[False, False, True]","[-9, -2, 0]","[[-16, 8, 4], [8, -4, 2], [4, 2, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 1]]",35,256,31
6,"0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1",False,3,"[False, False, True]","[False, False, True]","[-9, -2, 0]","[[-16, 8, 4], [8, -4, 2], [4, 2, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 1]]",35,256,31
7,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0",False,6,"[False, False, True, True, True, True]","[False, False, True, True, True, True]","[-9, -2, 0, 0, 0, 0]","[[-16, 8, 4, 0, 0, 0], [8, -4, 0, 2, 0, 0], [4, 0, -1, 0, 1, 0], [0, 2, 0, -1, 0, 1], [0, 0, 1, 0, -1, 1], [0, 0, 0, 1, 1, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",194,0,99
8,"0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1",False,5,"[False, False, True, True, True]","[False, False, True, True, True]","[-9, -2, 0, 0, 0]","[[-16, 8, 4, 0, 0], [8, -4, 0, 2, 0], [4, 0, -1, 0, 1], [0, 2, 0, -1, 1], [0, 0, 1, 1, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",156,0,83
9,"0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0",False,5,"[True, False, False, True, True]","[True, False, False, True, True]","[0, -9, -2, 0, 0]","[[0, 4, 0, 0, 1], [4, -16, 8, 0, 0], [0, 8, -4, 2, 0], [0, 0, 2, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",157,0,84
