,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",5,4,1,2,"[0, -3, 0, 2]",-1,0,"['NA', 'NA', [1, 0], [3, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",5,4,1,2,"[0, -3, 4, -2]",-1,0,"['NA', 'NA', 'NA', [0, 1]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",6,4,1,2,"[0, -3, 2, 0]",-1,0,"['NA', 'NA', [3, 0], [1, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",5,4,1,2,"[0, -2, 0, 1]",-1,0,"['NA', 'NA', 'NA', [2, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",6,4,1,2,"[0, -2, 0, 1]",-1,0,"['NA', 'NA', [1, 0], [2, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",5,3,1,2,"[0, -2, 1]",-1,0,"['NA', 'NA', [2, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",6,3,1,2,"[0, -2, 1]",-1,0,"['NA', 'NA', [2, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",6,6,1,2,"[0, -2, 0, 2, 1, -2]",-1,0,"['NA', 'NA', [1, 0], [3, 0], [2, 0], [0, 1]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",6,5,1,2,"[0, -2, 0, 2, -1]",-1,0,"['NA', 'NA', [1, 0], [3, 0], [0, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",5,5,1,2,"[1, 0, -2, 2, -2]",-1,0,"[[2, 0], 'NA', 'NA', [3, 0], [0, 1]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",7,4,1,2,"[0, -2, 2, -1]",-1,0,"['NA', 'NA', [3, 0], [0, 0]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",6,5,1,2,"[0, -2, 0, 1, 0]",-1,0,"['NA', 'NA', [1, 0], [2, 0], [1, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",7,4,1,2,"[0, -2, 0, 1]",-1,0,"['NA', 'NA', [1, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",6,3,1,2,"[0, -2, 1]",-1,0,"['NA', 'NA', [2, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",7,4,1,2,"[1, 0, -2, 0]",-1,0,"[[2, 0], 'NA', 'NA', [1, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",6,5,1,2,"[0, -2, 4, 1, -4]",-1,0,"['NA', 'NA', 'NA', [2, 0], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",7,4,1,2,"[0, -2, 2, -1]",-1,0,"['NA', 'NA', [3, 0], [0, 0]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",6,5,1,2,"[-1, 0, -2, 4, -2]",-1,0,"[[0, 0], 'NA', 'NA', 'NA', [0, 1]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",7,4,1,2,"[0, -2, 2, -1]",-1,0,"['NA', 'NA', [3, 0], [0, 0]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",7,4,1,2,"[0, -2, 1, 0]",-1,0,"['NA', 'NA', [2, 0], [2, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",7,3,1,2,"[0, -2, 1]",-1,0,"['NA', 'NA', [2, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",7,3,1,2,"[0, -2, 1]",-1,0,"['NA', 'NA', [2, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",8,3,1,2,"[0, -2, 1]",-1,0,"['NA', 'NA', [2, 0]]"
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",8,6,1,2,"[0, 0, -2, 2, 1, -2]",-1,0,"[[1, 0], 'NA', 'NA', [3, 0], [2, 0], [0, 1]]"
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -1, -2, 0]",7,4,1,2,"[0, -2, 2, -1]",-1,0,"['NA', 'NA', [3, 0], [0, 0]]"
