,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",4,4,2,6,"[-20, 12, 3, 1]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-14, -5, 0, 0]","[[-25, 15, 5, 0], [15, -9, 0, 3], [5, 0, -1, 0], [0, 3, 0, -1]]","[[0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 3, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]]",105,-225,0,"['NA', 'NA', [4, 0], [2, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,3,7,"[-16, 12, 2, -2]",-20,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-9, -5, -2, 0]","[[-16, 12, 0, 0], [12, -9, 6, 0], [0, 6, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 3, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",106,-576,1,"['NA', 'NA', 'NA', [0, 1]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[-16, 12, 1, -1]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-9, -5, 0, 0]","[[-16, 12, 0, 0], [12, -9, 3, 3], [0, 3, -1, 0], [0, 3, 0, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 3, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",102,-144,2,"['NA', 'NA', [2, 0], [0, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",4,4,2,6,"[-20, 8, 6, 2]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-14, -2, -2, 0]","[[-25, 10, 10, 0], [10, -4, 0, 0], [10, 0, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0]]",108,-400,3,"['NA', 'NA', 'NA', [3, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,4,2,6,"[-20, 8, 3, 5]",-11,0,False,4,"[True, True, True, True]","[True, True, True, True]","[-14, -2, 0, 0]","[[-25, 10, 5, 5], [10, -4, 0, 0], [5, 0, -1, 0], [5, 0, 0, 0]]","[[0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 0]]",104,-100,4,"['NA', 'NA', [4, 0], [6, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,2,6,"[-16, 8, 4]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-9, -2, 0]","[[-16, 8, 4], [8, -4, 2], [4, 2, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 1]]",35,256,5,"['NA', 'NA', [5, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,3,2,6,"[-16, 8, 4]",-11,0,False,3,"[True, True, True]","[True, True, True]","[-9, -2, 0]","[[-16, 8, 4], [8, -4, 2], [4, 2, 2]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 1]]",35,256,5,"['NA', 'NA', [5, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,6,3,7,"[-16, 8, 3, 1, 2, -2]",-20,0,False,6,"[True, True, True, True, True, True]","[True, True, True, True, True, True]","[-9, -2, 0, 0, 0, 0]","[[-16, 8, 4, 0, 0, 0], [8, -4, 0, 2, 0, 0], [4, 0, -1, 0, 1, 0], [0, 2, 0, -1, 0, 1], [0, 0, 1, 0, -1, 1], [0, 0, 0, 1, 1, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",197,0,6,"['NA', 'NA', [4, 0], [2, 0], [3, 0], [0, 1]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,5,2,6,"[-16, 8, 3, 1, 0]",-11,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[-9, -2, 0, 0, 0]","[[-16, 8, 4, 0, 0], [8, -4, 0, 2, 0], [4, 0, -1, 0, 1], [0, 2, 0, -1, 1], [0, 0, 1, 1, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",157,0,7,"['NA', 'NA', [4, 0], [2, 0], [1, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, -1, 4]",5,5,3,7,"[5, -16, 8, 1, -2]",-20,0,False,5,"[True, True, True, True, True]","[True, True, True, True, True]","[0, -9, -2, 0, 0]","[[0, 4, 0, 0, 1], [4, -16, 8, 0, 0], [0, 8, -4, 2, 0], [0, 0, 2, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",158,0,7,"[[6, 0], 'NA', 'NA', [2, 0], [0, 1]]"
