,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",14,4,6,1,"[5, 3, -2, -1]",-5,0,"['NA', 'NA', [0, 1], [0, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",14,4,5,0,"[4, 3, -2, 0]",1,0,"['NA', 'NA', 'NA', [1, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",15,4,5,0,"[4, 3, -1, -1]",1,0,"['NA', 'NA', [0, 0], [0, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",15,4,6,1,"[5, 2, -4, 2]",-5,0,"['NA', 'NA', 'NA', [3, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",15,4,6,1,"[5, 2, -2, 0]",-5,0,"['NA', 'NA', [0, 1], [1, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",15,3,5,0,"[4, 2, -1]",1,0,"['NA', 'NA', [0, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",17,3,5,0,"[4, 2, -1]",1,0,"['NA', 'NA', [0, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",15,6,6,1,"[4, 2, -2, -1, 2, 0]",-5,0,"['NA', 'NA', [0, 1], [0, 0], [3, 0], [1, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,5,6,1,"[4, 2, -2, -1, 2]",-5,0,"['NA', 'NA', [0, 1], [0, 0], [3, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,5,5,0,"[0, 4, 2, -1, 0]",1,0,"[[1, 0], 'NA', 'NA', [0, 0], [1, 0]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,4,5,0,"[4, 2, -1, 0]",1,0,"['NA', 'NA', [0, 0], [1, 0]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,5,6,1,"[4, 2, -2, 2, -1]",-5,0,"['NA', 'NA', [0, 1], [3, 0], [0, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,4,6,1,"[4, 2, -2, 1]",-5,0,"['NA', 'NA', [0, 1], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",17,3,5,0,"[4, 2, -1]",1,0,"['NA', 'NA', [0, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",17,4,5,0,"[0, 4, 2, -1]",1,0,"[[1, 0], 'NA', 'NA', [0, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,5,5,0,"[3, 2, -2, 2, 0]",1,0,"['NA', 'NA', 'NA', [3, 0], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",17,4,5,0,"[3, 2, -1, 1]",1,0,"['NA', 'NA', [0, 0], [2, 0]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,5,5,0,"[2, 3, 2, -2, 0]",1,0,"[[3, 0], 'NA', 'NA', 'NA', [1, 0]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,4,5,0,"[3, 2, -1, 1]",1,0,"['NA', 'NA', [0, 0], [2, 0]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",14,4,5,0,"[3, 2, 2, -2]",1,0,"['NA', 'NA', [3, 0], [0, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,3,5,0,"[3, 2, 0]",1,0,"['NA', 'NA', [1, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,3,5,0,"[3, 2, 0]",1,0,"['NA', 'NA', [1, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",17,3,5,0,"[3, 2, 0]",1,0,"['NA', 'NA', [1, 0]]"
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",15,6,5,0,"[-1, 3, 2, -1, 2, 0]",1,0,"[[0, 0], 'NA', 'NA', [0, 0], [3, 0], [1, 0]]"
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",16,4,5,0,"[3, 2, -1, 1]",1,0,"['NA', 'NA', [0, 0], [2, 0]]"
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[1, -2, 1, -1]",17,5,5,0,"[1, 3, 2, -1, 0]",1,0,"[[2, 0], 'NA', 'NA', [0, 0], [1, 0]]"
