,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",14,4,6,3,"[10, -6, -3, 2]",-17,0,"['NA', 'NA', [0, 2], [3, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",14,4,6,3,"[8, -6, 4, -3]",-17,0,"['NA', 'NA', 'NA', [0, 2]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",15,4,6,3,"[8, -6, 2, -1]",-17,0,"['NA', 'NA', [3, 0], [0, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",15,4,8,5,"[10, -4, -6, 3]",-39,0,"['NA', 'NA', 'NA', [4, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",15,4,6,3,"[10, -4, -3, 0]",-17,0,"['NA', 'NA', [0, 2], [1, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",15,3,6,3,"[8, -4, -1]",-17,0,"['NA', 'NA', [0, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",17,3,6,3,"[8, -4, -1]",-17,0,"['NA', 'NA', [0, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",15,6,8,5,"[8, -4, -3, 2, 3, -3]",-39,0,"['NA', 'NA', [0, 2], [3, 0], [4, 0], [0, 2]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",17,5,6,3,"[8, -4, -3, 2, 0]",-17,0,"['NA', 'NA', [0, 2], [3, 0], [1, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",15,5,6,3,"[0, 8, -4, 2, -3]",-17,0,"[[1, 0], 'NA', 'NA', [3, 0], [0, 2]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[2, -3, -2, -2]",17,4,6,3,"[8, -4, 2, -3]",-17,0,"['NA', 'NA', [3, 0], [0, 2]]"
