,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",113,4,32,35,"[-50, 33, 12, 2]",-1119,0,"['NA', 'NA', [13, 0], [3, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",99,4,27,30,"[-40, 33, 4, 0]",-809,0,"['NA', 'NA', 'NA', [1, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",118,4,27,30,"[-40, 33, 2, 2]",-809,0,"['NA', 'NA', [3, 0], [3, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",101,4,32,35,"[-50, 22, 24, 1]",-1119,0,"['NA', 'NA', 'NA', [2, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",119,4,32,35,"[-50, 22, 12, 13]",-1119,0,"['NA', 'NA', [13, 0], [14, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",89,3,27,30,"[-40, 22, 15]",-809,0,"['NA', 'NA', [16, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",161,3,27,30,"[-40, 22, 15]",-809,0,"['NA', 'NA', [16, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",100,6,27,30,"[-40, 22, 12, 2, 1, 0]",-809,0,"['NA', 'NA', [13, 0], [3, 0], [2, 0], [1, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",119,5,27,30,"[-40, 22, 12, 2, 1]",-809,0,"['NA', 'NA', [13, 0], [3, 0], [2, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",102,5,27,30,"[13, -40, 22, 2, 0]",-809,0,"[[14, 0], 'NA', 'NA', [3, 0], [1, 0]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",140,4,27,30,"[-40, 22, 2, 13]",-809,0,"['NA', 'NA', [3, 0], [14, 0]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, 1]","[3, -1, -2, 10]",103,5,27,30,"[-40, 22, 12, 1, 2]",-809,0,"['NA', 'NA', [13, 0], [2, 0], [3, 0]]"
