,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",9,4,6,2,"[-2, -2, 4, 4]",-11,0,"['NA', 'NA', [5, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",5,4,5,1,"[-1, -2, 8, -1]",-4,0,"[[0, 0], 'NA', 'NA', [0, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",6,4,5,1,"[-1, -2, 4, 3]",-4,0,"[[0, 0], 'NA', [5, 0], [4, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",6,4,5,1,"[-2, -1, 8, -1]",-4,0,"['NA', [0, 0], 'NA', [0, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",5,4,5,1,"[-2, -1, 4, 3]",-4,0,"['NA', [0, 0], [5, 0], [4, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",6,3,5,1,"[-1, -1, 6]",-4,0,"[[0, 0], [0, 0], [7, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",6,3,5,1,"[-1, -1, 6]",-4,0,"[[0, 0], [0, 0], [7, 0]]"
7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",10,6,6,2,"[-1, -1, 4, 4, -1, -1]",-11,0,"[[0, 0], [0, 0], [5, 0], [5, 0], [0, 0], [0, 0]]"
8,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",5,5,6,2,"[-1, -1, 4, 4, -2]",-11,0,"[[0, 0], [0, 0], [5, 0], [5, 0], [0, 1]]"
9,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[2, 1, -4, 1]",6,5,5,1,"[3, -1, -1, 4, -1]",-4,0,"[[4, 0], [0, 0], [0, 0], [5, 0], [0, 0]]"
