,coeffs,curve-smooth,curve-split-number,splits-reduced,splits-smooth,splits-genera,splits-intersections,splits-classes,split-type,determinant,split-type2
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",False,4,"[False, False, True, True]","[False, False, True, True]","[-9, -5, 0, 0]","[[-16, 12, 4, 0], [12, -9, 0, 3], [4, 0, -1, 0], [0, 3, 0, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 3, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0]]",122,-144,68
1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",False,4,"[False, False, False, True]","[False, False, False, True]","[-5, -5, -2, 0]","[[-9, 9, 0, 0], [9, -9, 6, 0], [0, 6, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 3, 0], [0, 0, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",123,-324,69
2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",False,4,"[False, False, True, True]","[False, False, True, True]","[-5, -5, 0, 0]","[[-9, 9, 0, 0], [9, -9, 3, 3], [0, 3, -1, 0], [0, 3, 0, 0]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 3, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 1]]",108,-81,56
3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",False,4,"[False, False, False, True]","[False, False, False, True]","[-9, -2, -2, 0]","[[-16, 8, 8, 0], [8, -4, 0, 0], [8, 0, -4, 2], [0, 0, 2, -1]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 2, 0, 0], [0, 1, 0, 0, 0, 0]]",124,-256,70
4,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",False,4,"[False, False, True, True]","[False, False, True, True]","[-9, -2, 0, 0]","[[-16, 8, 4, 4], [8, -4, 0, 0], [4, 0, -1, 0], [4, 0, 0, 0]]","[[0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1, 0]]",116,-64,63
5,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",False,3,"[False, False, True]","[False, False, True]","[-5, -2, 0]","[[-9, 6, 3], [6, -4, 2], [3, 2, 2]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 1, 0, 2, 0, 1]]",50,144,33
6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",False,3,"[False, False, True]","[False, False, True]","[-5, -2, 0]","[[-9, 6, 3], [6, -4, 2], [3, 2, 2]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 1, 1, 1]]",50,144,33
7,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",False,6,"[False, False, True, True, True, True]","[False, False, True, True, True, True]","[-5, -2, 0, 0, 0, 0]","[[-9, 6, 3, 0, 0, 0], [6, -4, 0, 2, 0, 0], [3, 0, -1, 0, 1, 0], [0, 2, 0, -1, 0, 1], [0, 0, 1, 0, -1, 1], [0, 0, 0, 1, 1, -1]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",197,0,93
8,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",False,5,"[False, False, True, True, True]","[False, False, True, True, True]","[-5, -2, 0, 0, 0]","[[-9, 6, 3, 0, 0], [6, -4, 0, 2, 0], [3, 0, -1, 0, 1], [0, 2, 0, -1, 1], [0, 0, 1, 1, 0]]","[[0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1]]",162,0,81
9,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",False,5,"[True, False, False, True, True]","[True, False, False, True, True]","[0, -5, -2, 0, 0]","[[0, 3, 0, 0, 1], [3, -9, 6, 0, 0], [0, 6, -4, 2, 0], [0, 0, 2, -1, 1], [1, 0, 0, 1, -1]]","[[0, 0, 1, 0, 1, 0], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0]]",163,0,82
