,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",11,4,2,7,"[-6, -3, 1, 4]",-12,0,"['NA', 'NA', [2, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",10,4,3,8,"[-4, -3, 8, -5]",-22,0,"['NA', 'NA', 'NA', [0, 4]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",11,4,2,7,"[-4, -3, 4, -1]",-12,0,"['NA', 'NA', [5, 0], [0, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",11,4,1,6,"[-6, -2, 2, 2]",-4,0,"['NA', 'NA', 'NA', [3, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",11,4,1,6,"[-6, -2, 1, 3]",-4,0,"['NA', 'NA', [2, 0], [4, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",11,3,0,5,"[-4, -2, 2]",2,0,"['NA', 'NA', [3, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",12,3,0,5,"[-4, -2, 2]",2,0,"['NA', 'NA', [3, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",10,6,3,8,"[-4, -2, 1, 4, 2, -5]",-22,0,"['NA', 'NA', [2, 0], [5, 0], [3, 0], [0, 4]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",11,5,2,7,"[-4, -2, 1, 4, -3]",-12,0,"['NA', 'NA', [2, 0], [5, 0], [0, 2]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",11,5,3,8,"[3, -4, -2, 4, -5]",-22,0,"[[4, 0], 'NA', 'NA', [5, 0], [0, 4]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",11,4,2,7,"[-4, -2, 4, -2]",-12,0,"['NA', 'NA', [5, 0], [0, 1]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",12,5,1,6,"[-4, -2, 1, 2, -1]",-4,0,"['NA', 'NA', [2, 0], [3, 0], [0, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",12,4,0,5,"[-4, -2, 1, 1]",2,0,"['NA', 'NA', [2, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",12,3,0,5,"[-4, -2, 2]",2,0,"['NA', 'NA', [3, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",13,4,1,6,"[3, -4, -2, -1]",-4,0,"[[4, 0], 'NA', 'NA', [0, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",11,5,4,9,"[-2, -2, 8, 2, -10]",-34,0,"[[0, 1], 'NA', 'NA', [3, 0], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",12,4,2,7,"[-2, -2, 4, -4]",-12,0,"[[0, 1], 'NA', [5, 0], [0, 3]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",13,5,3,8,"[-3, -2, -2, 8, -5]",-22,0,"[[0, 2], [0, 1], 'NA', 'NA', [0, 4]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, -2, -4, 2]",13,4,2,7,"[-2, -2, 4, -4]",-12,0,"[[0, 1], 'NA', [5, 0], [0, 3]]"
