,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,4,2,8,"[3, -12, 0, 4]",-14,0,"['NA', 'NA', [1, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,4,3,9,"[2, -12, 8, -3]",-25,0,"['NA', 'NA', 'NA', [0, 2]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,4,2,8,"[2, -12, 4, 1]",-14,0,"['NA', 'NA', [5, 0], [2, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,4,0,6,"[3, -8, 0, 0]",2,0,"['NA', 'NA', 'NA', [1, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,4,0,6,"[3, -8, 0, 0]",2,0,"['NA', 'NA', [1, 0], [1, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,3,0,6,"[2, -8, 1]",2,0,"['NA', 'NA', [2, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,3,0,6,"[2, -8, 1]",2,0,"['NA', 'NA', [2, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,6,2,8,"[2, -8, 0, 4, 0, -3]",-14,0,"['NA', 'NA', [1, 0], [5, 0], [1, 0], [0, 2]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",8,5,2,8,"[2, -8, 0, 4, -3]",-14,0,"['NA', 'NA', [1, 0], [5, 0], [0, 2]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",8,5,2,8,"[0, 2, -8, 4, -3]",-14,0,"[[1, 0], 'NA', 'NA', [5, 0], [0, 2]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,4,2,8,"[2, -8, 4, -3]",-14,0,"['NA', 'NA', [5, 0], [0, 2]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,5,0,6,"[2, -8, 0, 0, 1]",2,0,"['NA', 'NA', [1, 0], [1, 0], [2, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,4,0,6,"[2, -8, 0, 1]",2,0,"['NA', 'NA', [1, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,3,0,6,"[2, -8, 1]",2,0,"['NA', 'NA', [2, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",8,4,0,6,"[0, 2, -8, 1]",2,0,"[[1, 0], 'NA', 'NA', [2, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",6,5,3,9,"[1, -8, 8, 0, -6]",-25,0,"[[2, 0], 'NA', 'NA', [1, 0], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",8,4,2,8,"[1, -8, 4, -2]",-14,0,"[[2, 0], 'NA', [5, 0], [0, 1]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,5,3,9,"[-3, 1, -8, 8, -3]",-25,0,"[[0, 2], [2, 0], 'NA', 'NA', [0, 2]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",8,4,2,8,"[1, -8, 4, -2]",-14,0,"[[2, 0], 'NA', [5, 0], [0, 1]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 0, -4, -1]",7,4,0,6,"[1, -8, 0, 2]",2,0,"[[2, 0], 'NA', [1, 0], [4, 0]]"
