,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",41,4,16,16,"[21, -21, -2, 3]",-254,0,"['NA', 'NA', [0, 1], [4, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",39,4,15,15,"[14, -21, 6, 2]",-223,0,"['NA', 'NA', 'NA', [3, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",43,4,15,15,"[14, -21, 3, 5]",-223,0,"['NA', 'NA', [4, 0], [6, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",41,4,15,15,"[21, -14, -4, -2]",-223,0,"['NA', 'NA', 'NA', [0, 1]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",42,4,15,15,"[21, -14, -2, -4]",-223,0,"['NA', 'NA', [0, 1], [0, 3]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",42,3,11,11,"[14, -14, 1]",-119,0,"['NA', 'NA', [2, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",47,3,11,11,"[14, -14, 1]",-119,0,"['NA', 'NA', [2, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",43,6,14,14,"[14, -14, -2, 3, -2, 2]",-194,0,"['NA', 'NA', [0, 1], [4, 0], [0, 1], [3, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",41,5,12,12,"[14, -14, -2, 3, 0]",-142,0,"['NA', 'NA', [0, 1], [4, 0], [1, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",44,5,14,14,"[-4, 14, -14, 3, 2]",-194,0,"[[0, 3], 'NA', 'NA', [4, 0], [3, 0]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",47,4,12,12,"[14, -14, 3, -2]",-142,0,"['NA', 'NA', [4, 0], [0, 1]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",42,5,14,14,"[14, -14, -2, -2, 5]",-194,0,"['NA', 'NA', [0, 1], [0, 1], [6, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",45,4,12,12,"[14, -14, -2, 3]",-142,0,"['NA', 'NA', [0, 1], [4, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",46,3,11,11,"[14, -14, 1]",-119,0,"['NA', 'NA', [2, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",46,4,14,14,"[-4, 14, -14, 5]",-194,0,"[[0, 3], 'NA', 'NA', [6, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",41,5,12,12,"[7, -14, 6, -2, 4]",-142,0,"[[8, 0], 'NA', 'NA', [0, 1], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",41,4,11,11,"[7, -14, 3, 5]",-119,0,"[[8, 0], 'NA', [4, 0], [6, 0]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",41,5,11,11,"[0, 7, -14, 6, 2]",-119,0,"[[1, 0], [8, 0], 'NA', 'NA', [3, 0]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",44,4,11,11,"[7, -14, 3, 5]",-119,0,"[[8, 0], 'NA', [4, 0], [6, 0]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",42,4,12,12,"[7, -14, -2, 10]",-142,0,"[[8, 0], 'NA', [0, 1], [12, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",46,3,11,11,"[7, -14, 8]",-119,0,"[[8, 0], 'NA', [9, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -7]",47,3,11,11,"[7, -14, 8]",-119,0,"[[8, 0], 'NA', [9, 0]]"
