,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",10,4,6,9,"[9, -15, 0, 4]",-52,0,"['NA', 'NA', [1, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",11,4,6,9,"[6, -15, 8, -1]",-52,0,"['NA', 'NA', 'NA', [0, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",11,4,6,9,"[6, -15, 4, 3]",-52,0,"['NA', 'NA', [5, 0], [4, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",10,4,4,7,"[9, -10, 0, -1]",-26,0,"['NA', 'NA', 'NA', [0, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",11,4,4,7,"[9, -10, 0, -1]",-26,0,"['NA', 'NA', [1, 0], [0, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",11,3,4,7,"[6, -10, 2]",-26,0,"['NA', 'NA', [3, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",13,3,4,7,"[6, -10, 2]",-26,0,"['NA', 'NA', [3, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",11,6,5,8,"[6, -10, 0, 4, -1, -1]",-38,0,"['NA', 'NA', [1, 0], [5, 0], [0, 0], [0, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",12,5,5,8,"[6, -10, 0, 4, -2]",-38,0,"['NA', 'NA', [1, 0], [5, 0], [0, 1]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 1, -4, -3]",12,5,5,8,"[-1, 6, -10, 4, -1]",-38,0,"[[0, 0], 'NA', 'NA', [5, 0], [0, 0]]"
