,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,4,5,0,"[-3, 0, 6, 3]",2,0,"['NA', 'NA', [7, 0], [4, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",7,4,5,0,"[-2, 0, 6, 2]",2,0,"['NA', 'NA', 'NA', [3, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",7,4,5,0,"[-2, 0, 3, 5]",2,0,"['NA', 'NA', [4, 0], [6, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,4,7,2,"[-3, 0, 12, -3]",-12,0,"['NA', 'NA', 'NA', [0, 2]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",7,4,5,0,"[-3, 0, 6, 3]",2,0,"['NA', 'NA', [7, 0], [4, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,3,5,0,"[-2, 0, 8]",2,0,"['NA', 'NA', [9, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,3,5,0,"[-2, 0, 8]",2,0,"['NA', 'NA', [9, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,6,7,2,"[-2, 0, 6, 3, -3, 2]",-12,0,"['NA', 'NA', [7, 0], [4, 0], [0, 2], [3, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,5,5,0,"[-2, 0, 6, 3, -1]",2,0,"['NA', 'NA', [7, 0], [4, 0], [0, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,5,5,0,"[3, -2, 0, 3, 2]",2,0,"[[4, 0], 'NA', 'NA', [4, 0], [3, 0]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,4,5,0,"[-2, 0, 3, 5]",2,0,"['NA', 'NA', [4, 0], [6, 0]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,5,7,2,"[-2, 0, 6, -3, 5]",-12,0,"['NA', 'NA', [7, 0], [0, 2], [6, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",9,4,5,0,"[-2, 0, 6, 2]",2,0,"['NA', 'NA', [7, 0], [3, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,3,5,0,"[-2, 0, 8]",2,0,"['NA', 'NA', [9, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",9,4,5,0,"[3, -2, 0, 5]",2,0,"[[4, 0], 'NA', 'NA', [6, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,5,7,2,"[-1, 0, 6, -3, 4]",-12,0,"[[0, 0], 'NA', 'NA', [0, 2], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,4,5,0,"[-1, 0, 3, 4]",2,0,"[[0, 0], 'NA', [4, 0], [5, 0]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",9,5,5,0,"[-1, -1, 0, 6, 2]",2,0,"[[0, 0], [0, 0], 'NA', 'NA', [3, 0]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",9,4,5,0,"[-1, 0, 3, 4]",2,0,"[[0, 0], 'NA', [4, 0], [5, 0]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,4,7,2,"[-1, 0, -3, 10]",-12,0,"[[0, 0], 'NA', [0, 2], [12, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,3,5,0,"[-1, 0, 7]",2,0,"[[0, 0], 'NA', [8, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",7,3,5,0,"[-1, 0, 7]",2,0,"[[0, 0], 'NA', [8, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,3,5,0,"[-1, 0, 7]",2,0,"[[0, 0], 'NA', [8, 0]]"
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,6,7,2,"[5, -1, 0, 3, -3, 2]",-12,0,"[[6, 0], [0, 0], 'NA', [4, 0], [0, 2], [3, 0]]"
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,4,5,0,"[-1, 0, 3, 4]",2,0,"[[0, 0], 'NA', [4, 0], [5, 0]]"
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",9,5,5,0,"[2, -1, 0, 3, 2]",2,0,"[[3, 0], [0, 0], 'NA', [4, 0], [3, 0]]"
26,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[2, 3, -3, 1]",8,5,5,0,"[-1, 5, -1, 0, 3]",2,0,"[[0, 0], [6, 0], [0, 0], 'NA', [4, 0]]"
