,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",20,4,11,12,"[15, -18, -1, 4]",-130,0,"['NA', 'NA', [0, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",20,4,11,12,"[10, -18, 8, 0]",-130,0,"['NA', 'NA', 'NA', [1, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",21,4,11,12,"[10, -18, 4, 4]",-130,0,"['NA', 'NA', [5, 0], [5, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",21,4,9,10,"[15, -12, -2, -1]",-88,0,"['NA', 'NA', 'NA', [0, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",22,4,9,10,"[15, -12, -1, -2]",-88,0,"['NA', 'NA', [0, 0], [0, 1]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",22,3,8,9,"[10, -12, 2]",-70,0,"['NA', 'NA', [3, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",23,3,8,9,"[10, -12, 2]",-70,0,"['NA', 'NA', [3, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",21,6,9,10,"[10, -12, -1, 4, -1, 0]",-88,0,"['NA', 'NA', [0, 0], [5, 0], [0, 0], [1, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",21,5,9,10,"[10, -12, -1, 4, -1]",-88,0,"['NA', 'NA', [0, 0], [5, 0], [0, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 1, -4, -5]",21,5,9,10,"[-2, 10, -12, 4, 0]",-88,0,"[[0, 1], 'NA', 'NA', [5, 0], [1, 0]]"
