,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",14,4,11,9,"[15, -15, 0, 3]",-97,0,"['NA', 'NA', [1, 0], [4, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,4,11,9,"[10, -15, 6, 2]",-97,0,"['NA', 'NA', 'NA', [3, 0]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,4,11,9,"[10, -15, 3, 5]",-97,0,"['NA', 'NA', [4, 0], [6, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",14,4,10,8,"[15, -10, 0, -2]",-78,0,"['NA', 'NA', 'NA', [0, 1]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,4,10,8,"[15, -10, 0, -2]",-78,0,"['NA', 'NA', [1, 0], [0, 1]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,3,9,7,"[10, -10, 3]",-61,0,"['NA', 'NA', [4, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,3,9,7,"[10, -10, 3]",-61,0,"['NA', 'NA', [4, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,6,10,8,"[10, -10, 0, 3, -2, 2]",-78,0,"['NA', 'NA', [1, 0], [4, 0], [0, 1], [3, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,5,9,7,"[10, -10, 0, 3, 0]",-61,0,"['NA', 'NA', [1, 0], [4, 0], [1, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,5,10,8,"[-2, 10, -10, 3, 2]",-78,0,"[[0, 1], 'NA', 'NA', [4, 0], [3, 0]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,9,7,"[10, -10, 3, 0]",-61,0,"['NA', 'NA', [4, 0], [1, 0]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,5,10,8,"[10, -10, 0, -2, 5]",-78,0,"['NA', 'NA', [1, 0], [0, 1], [6, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,9,7,"[10, -10, 0, 3]",-61,0,"['NA', 'NA', [1, 0], [4, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,9,7,"[10, -10, 3]",-61,0,"['NA', 'NA', [4, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,10,8,"[-2, 10, -10, 5]",-78,0,"[[0, 1], 'NA', 'NA', [6, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,5,10,8,"[5, -10, 6, -2, 4]",-78,0,"[[6, 0], 'NA', 'NA', [0, 1], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,9,7,"[5, -10, 3, 5]",-61,0,"[[6, 0], 'NA', [4, 0], [6, 0]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,5,9,7,"[0, 5, -10, 6, 2]",-61,0,"[[1, 0], [6, 0], 'NA', 'NA', [3, 0]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,4,9,7,"[5, -10, 3, 5]",-61,0,"[[6, 0], 'NA', [4, 0], [6, 0]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",14,4,10,8,"[5, -10, -2, 10]",-78,0,"[[6, 0], 'NA', [0, 1], [12, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,3,9,7,"[5, -10, 8]",-61,0,"[[6, 0], 'NA', [9, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,3,9,7,"[5, -10, 8]",-61,0,"[[6, 0], 'NA', [9, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,9,7,"[5, -10, 8]",-61,0,"[[6, 0], 'NA', [9, 0]]"
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,6,10,8,"[5, 5, -10, 3, -2, 2]",-78,0,"[[6, 0], [6, 0], 'NA', [4, 0], [0, 1], [3, 0]]"
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,4,9,7,"[5, -10, 3, 5]",-61,0,"[[6, 0], 'NA', [4, 0], [6, 0]]"
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,5,9,7,"[3, 5, -10, 3, 2]",-61,0,"[[4, 0], [6, 0], 'NA', [4, 0], [3, 0]]"
26,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,5,9,7,"[0, 5, 5, -10, 3]",-61,0,"[[1, 0], [6, 0], [6, 0], 'NA', [4, 0]]"
27,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,4,10,8,"[5, -10, -2, 10]",-78,0,"[[6, 0], 'NA', [0, 1], [12, 0]]"
28,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,9,7,"[5, -10, 8]",-61,0,"[[6, 0], 'NA', [9, 0]]"
29,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,3,9,7,"[5, -10, 8]",-61,0,"[[6, 0], 'NA', [9, 0]]"
30,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,3,9,7,"[5, -10, 8]",-61,0,"[[6, 0], 'NA', [9, 0]]"
31,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,5,8,6,"[10, -5, 0, -4, 2]",-46,0,"['NA', [0, 4], 'NA', 'NA', [3, 0]]"
32,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,4,7,5,"[10, -5, 0, -2]",-33,0,"['NA', [0, 4], [1, 0], [0, 1]]"
33,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,8,6,"[-4, 10, -5, 2]",-46,0,"[[0, 2], 'NA', [0, 4], [3, 0]]"
34,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,3,7,5,"[10, -5, -2]",-33,0,"['NA', [0, 4], [0, 1]]"
35,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,5,7,5,"[10, -5, 0, -2, 0]",-33,0,"['NA', [0, 4], 'NA', [0, 1], [1, 0]]"
36,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,4,7,5,"[10, -5, 0, -2]",-33,0,"['NA', [0, 4], [1, 0], [0, 1]]"
37,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,3,7,5,"[10, -5, -2]",-33,0,"['NA', [0, 4], [0, 1]]"
38,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,7,5,"[10, -5, -2]",-33,0,"['NA', [0, 4], [0, 1]]"
39,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,6,8,6,"[-2, 10, -5, 0, -2, 2]",-46,0,"[[0, 1], 'NA', [0, 4], [1, 0], [0, 1], [3, 0]]"
40,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,7,5,"[10, -5, 0, -2]",-33,0,"['NA', [0, 4], [1, 0], [0, 1]]"
41,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,4,8,6,"[-4, 10, -5, 2]",-46,0,"[[0, 2], 'NA', [0, 4], [3, 0]]"
42,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,7,5,"[10, -5, -2]",-33,0,"['NA', [0, 4], [0, 1]]"
43,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,5,7,5,"[10, -5, 0, -2, 0]",-33,0,"['NA', [0, 4], [1, 0], [0, 1], [1, 0]]"
44,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,5,7,5,"[-2, 10, -5, 0, 0]",-33,0,"[[0, 1], 'NA', [0, 4], [1, 0], [1, 0]]"
45,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,7,5,"[10, -5, -2]",-33,0,"['NA', [0, 4], [0, 1]]"
46,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,3,7,5,"[10, -5, -2]",-33,0,"['NA', [0, 4], [0, 1]]"
47,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,5,7,5,"[3, 5, -5, -2, 2]",-33,0,"[[4, 0], [6, 0], [0, 4], [0, 1], [3, 0]]"
48,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
49,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,4,6,4,"[1, 5, -5, 2]",-22,0,"[[2, 0], [6, 0], [0, 4], [3, 0]]"
50,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
51,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,4,7,5,"[5, -5, -2, 5]",-33,0,"[[6, 0], [0, 4], [0, 1], [6, 0]]"
52,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
53,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,6,4,"[0, 3, 5, -5]",-22,0,"[[1, 0], [4, 0], [6, 0], [0, 4]]"
54,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
55,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,5,7,5,"[3, 5, -5, -2, 2]",-33,0,"[[4, 0], [6, 0], [0, 4], [0, 1], [3, 0]]"
56,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
57,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,4,6,4,"[1, 5, -5, 2]",-22,0,"[[2, 0], [6, 0], [0, 4], [3, 0]]"
58,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
59,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,7,5,"[5, -5, -2, 5]",-33,0,"[[6, 0], [0, 4], [0, 1], [6, 0]]"
60,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
61,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
62,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",19,4,6,4,"[3, 0, 5, -5]",-22,0,"[[4, 0], [1, 0], [6, 0], [0, 4]]"
63,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,6,8,6,"[5, -5, 0, 3, -4, 4]",-46,0,"[[6, 0], [0, 4], [1, 0], [4, 0], 'NA', 'NA']"
64,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,5,6,4,"[5, -5, 0, 3, 0]",-22,0,"[[6, 0], [0, 4], [1, 0], [4, 0], [2, 0]]"
65,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,5,7,5,"[-2, 5, -5, 3, 2]",-33,0,"[[0, 1], [6, 0], [0, 4], [4, 0], [3, 0]]"
66,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,4,6,4,"[5, -5, 3, 0]",-22,0,"[[6, 0], [0, 4], [4, 0], [1, 0]]"
67,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,5,7,5,"[5, -5, 0, -2, 5]",-33,0,"[[6, 0], [0, 4], [1, 0], [0, 1], [6, 0]]"
68,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,4,6,4,"[5, -5, 0, 3]",-22,0,"[[6, 0], [0, 4], [1, 0], [4, 0]]"
69,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
70,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
71,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,7,7,5,"[0, 5, -5, 0, 3, -2, 2]",-33,0,"[[1, 0], [6, 0], [0, 4], [1, 0], [4, 0], [0, 1], [3, 0]]"
72,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,5,6,4,"[5, -5, 0, 3, 0]",-22,0,"[[6, 0], [0, 4], [1, 0], [4, 0], [2, 0]]"
73,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,5,7,5,"[-2, 5, -5, 3, 2]",-33,0,"[[0, 1], [6, 0], [0, 4], [4, 0], [3, 0]]"
74,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,6,4,"[5, -5, 3, 0]",-22,0,"[[6, 0], [0, 4], [4, 0], [1, 0]]"
75,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,5,7,5,"[5, -5, 0, -2, 5]",-33,0,"[[6, 0], [0, 4], [1, 0], [0, 1], [6, 0]]"
76,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,4,6,4,"[5, -5, 0, 3]",-22,0,"[[6, 0], [0, 4], [1, 0], [4, 0]]"
77,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
78,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
79,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,6,8,6,"[-2, 5, -5, 3, -2, 4]",-46,0,"[[0, 1], [6, 0], [0, 4], [4, 0], [0, 1], 'NA']"
80,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",16,4,6,4,"[5, -5, 3, 0]",-22,0,"[[6, 0], [0, 4], [4, 0], [1, 0]]"
81,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,5,7,5,"[-2, 5, -5, 3, 2]",-33,0,"[[0, 1], [6, 0], [0, 4], [4, 0], [3, 0]]"
82,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,4,6,4,"[5, -5, 3, 0]",-22,0,"[[6, 0], [0, 4], [4, 0], [1, 0]]"
83,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,4,7,5,"[5, -5, -2, 5]",-33,0,"[[6, 0], [0, 4], [0, 1], [6, 0]]"
84,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",15,4,7,5,"[-2, 5, -5, 5]",-33,0,"[[0, 1], [6, 0], [0, 4], [6, 0]]"
85,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",18,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
86,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[3, 2, -3, -5]",17,3,6,4,"[5, -5, 3]",-22,0,"[[6, 0], [0, 4], [3, 0]]"
