,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",4,4,4,6,"[-6, -3, 4, 4]",-22,0,"['NA', 'NA', [5, 0], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",4,4,3,5,"[-4, -3, 8, -2]",-13,0,"['NA', 'NA', 'NA', [0, 1]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",3,4,2,4,"[-4, -3, 4, 2]",-6,0,"['NA', 'NA', [5, 0], [3, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",4,4,3,5,"[-6, -2, 8, -1]",-13,0,"['NA', 'NA', 'NA', [0, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",4,4,3,5,"[-6, -2, 4, 3]",-13,0,"['NA', 'NA', [5, 0], [4, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",4,3,2,4,"[-4, -2, 5]",-6,0,"['NA', 'NA', [6, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",3,3,2,4,"[-4, -2, 5]",-6,0,"['NA', 'NA', [6, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",4,6,4,6,"[-4, -2, 4, 4, -1, -2]",-22,0,"['NA', 'NA', [5, 0], [5, 0], [0, 0], [0, 1]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",4,5,4,6,"[-4, -2, 4, 4, -3]",-22,0,"['NA', 'NA', [5, 0], [5, 0], [0, 2]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -2, -1]","[1, 1, -4, 2]",4,5,3,5,"[3, -4, -2, 4, -2]",-13,0,"[[4, 0], 'NA', 'NA', [5, 0], [0, 1]]"
