,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",8,4,3,5,"[0, -6, 0, 6]",-12,0,"['NA', 'NA', [1, 0], 'NA']"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",7,4,3,5,"[0, -6, 9, -3]",-12,0,"['NA', 'NA', 'NA', [0, 2]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",7,4,3,5,"[0, -6, 6, 0]",-12,0,"['NA', 'NA', 'NA', [1, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",8,5,2,4,"[0, -4, 0, 3, 1]",-5,0,"['NA', 'NA', 'NA', [4, 0], [2, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",7,5,2,4,"[0, -4, 0, 3, 1]",-5,0,"['NA', 'NA', [1, 0], [4, 0], [2, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",8,4,2,4,"[0, -4, 3, 1]",-5,0,"['NA', 'NA', [4, 0], [2, 0]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",8,4,2,4,"[0, -4, 3, 1]",-5,0,"['NA', 'NA', [4, 0], [2, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",10,6,3,5,"[0, -4, 0, 6, 1, -3]",-12,0,"['NA', 'NA', [1, 0], 'NA', [2, 0], [0, 2]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",8,5,3,5,"[0, -4, 0, 6, -2]",-12,0,"['NA', 'NA', [1, 0], 'NA', [0, 1]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",8,5,3,5,"[1, 0, -4, 6, -3]",-12,0,"[[2, 0], 'NA', 'NA', 'NA', [0, 2]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",9,4,3,5,"[0, -4, 6, -2]",-12,0,"['NA', 'NA', 'NA', [0, 1]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",8,6,2,4,"[0, -4, 0, 3, 1, 0]",-5,0,"['NA', 'NA', [1, 0], [4, 0], [2, 0], [1, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",9,5,2,4,"[0, -4, 0, 3, 1]",-5,0,"['NA', 'NA', [1, 0], [4, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",8,4,2,4,"[0, -4, 3, 1]",-5,0,"['NA', 'NA', [4, 0], [2, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",9,5,2,4,"[1, 0, -4, 3, 0]",-5,0,"[[2, 0], 'NA', 'NA', [4, 0], [1, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",9,5,3,5,"[0, -4, 9, 1, -6]",-12,0,"[[1, 0], 'NA', 'NA', [2, 0], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",8,4,3,5,"[0, -4, 6, -2]",-12,0,"[[1, 0], 'NA', 'NA', [0, 1]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",9,5,3,5,"[-2, 0, -4, 9, -3]",-12,0,"[[0, 1], [1, 0], 'NA', 'NA', [0, 2]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",10,4,3,5,"[0, -4, 6, -2]",-12,0,"[[1, 0], 'NA', 'NA', [0, 1]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",9,5,2,4,"[0, -4, 3, 1, 0]",-5,0,"[[1, 0], 'NA', [4, 0], [2, 0], [2, 0]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",10,4,2,4,"[0, -4, 3, 1]",-5,0,"[[1, 0], 'NA', [4, 0], [2, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",9,4,2,4,"[0, -4, 3, 1]",-5,0,"[[1, 0], 'NA', [4, 0], [2, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -1, -3, 0]",10,4,2,4,"[0, -4, 3, 1]",-5,0,"[[1, 0], 'NA', [4, 0], [2, 0]]"
