,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",20,4,4,10,"[9, -12, -5, 4]",-37,0,"['NA', 'NA', [0, 4], 'NA']"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",19,4,4,10,"[6, -12, 6, -4]",-37,0,"['NA', 'NA', 'NA', [0, 3]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",19,4,4,10,"[6, -12, 4, -2]",-37,0,"['NA', 'NA', 'NA', [0, 1]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",19,5,6,12,"[9, -8, -10, 2, 3]",-69,0,"['NA', 'NA', 'NA', [3, 0], [4, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",21,5,4,10,"[9, -8, -5, 2, -2]",-37,0,"['NA', 'NA', [0, 4], [3, 0], [0, 1]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",20,4,4,10,"[6, -8, 2, -4]",-37,0,"['NA', 'NA', [3, 0], [0, 3]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",23,4,4,10,"[6, -8, 2, -4]",-37,0,"['NA', 'NA', [3, 0], [0, 3]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",20,6,6,12,"[6, -8, -5, 4, 3, -4]",-69,0,"['NA', 'NA', [0, 4], 'NA', [4, 0], [0, 3]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",22,5,4,10,"[6, -8, -5, 4, -1]",-37,0,"['NA', 'NA', [0, 4], 'NA', [0, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",22,5,4,10,"[-2, 6, -8, 4, -4]",-37,0,"[[0, 1], 'NA', 'NA', 'NA', [0, 3]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",22,4,4,10,"[6, -8, 4, -6]",-37,0,"['NA', 'NA', 'NA', [0, 5]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",19,6,6,12,"[6, -8, -5, 2, 3, -2]",-69,0,"['NA', 'NA', [0, 4], [3, 0], [4, 0], [0, 1]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",21,5,4,10,"[6, -8, -5, 2, 1]",-37,0,"['NA', 'NA', [0, 4], [3, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",20,4,4,10,"[6, -8, 2, -4]",-37,0,"['NA', 'NA', [3, 0], [0, 3]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",22,5,4,10,"[-2, 6, -8, 2, -2]",-37,0,"[[0, 1], 'NA', 'NA', [3, 0], [0, 1]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -2, -3]",18,5,5,11,"[3, -8, 6, 3, -8]",-52,0,"[[4, 0], 'NA', 'NA', [4, 0], 'NA']"
