,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",16,4,6,13,"[9, -15, -5, 6]",-75,0,"['NA', 'NA', [0, 4], 'NA']"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,4,6,13,"[6, -15, 9, -5]",-75,0,"['NA', 'NA', 'NA', [0, 4]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",16,4,6,13,"[6, -15, 6, -2]",-75,0,"['NA', 'NA', 'NA', [0, 1]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",16,5,7,14,"[9, -10, -10, 3, 3]",-95,0,"['NA', 'NA', 'NA', [4, 0], [4, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,5,5,12,"[9, -10, -5, 3, -2]",-57,0,"['NA', 'NA', [0, 4], [4, 0], [0, 1]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",16,4,5,12,"[6, -10, 3, -4]",-57,0,"['NA', 'NA', [4, 0], [0, 3]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,4,5,12,"[6, -10, 3, -4]",-57,0,"['NA', 'NA', [4, 0], [0, 3]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,6,8,15,"[6, -10, -5, 6, 3, -5]",-117,0,"['NA', 'NA', [0, 4], 'NA', [4, 0], [0, 4]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,5,6,13,"[6, -10, -5, 6, -2]",-75,0,"['NA', 'NA', [0, 4], 'NA', [0, 1]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,5,6,13,"[-2, 6, -10, 6, -5]",-75,0,"[[0, 1], 'NA', 'NA', 'NA', [0, 4]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",19,4,6,13,"[6, -10, 6, -7]",-75,0,"['NA', 'NA', 'NA', [0, 6]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",19,6,7,14,"[6, -10, -5, 3, 3, -2]",-95,0,"['NA', 'NA', [0, 4], [4, 0], [4, 0], [0, 1]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,5,5,12,"[6, -10, -5, 3, 1]",-57,0,"['NA', 'NA', [0, 4], [4, 0], [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,4,5,12,"[6, -10, 3, -4]",-57,0,"['NA', 'NA', [4, 0], [0, 3]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",19,5,5,12,"[-2, 6, -10, 3, -2]",-57,0,"[[0, 1], 'NA', 'NA', [4, 0], [0, 1]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,5,7,14,"[3, -10, 9, 3, -10]",-95,0,"[[4, 0], 'NA', 'NA', [4, 0], 'NA']"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,4,5,12,"[3, -10, 6, -4]",-57,0,"[[4, 0], 'NA', 'NA', [0, 3]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",16,5,5,12,"[-2, 3, -10, 9, -5]",-57,0,"[[0, 1], [4, 0], 'NA', 'NA', [0, 4]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,4,5,12,"[3, -10, 6, -4]",-57,0,"[[4, 0], 'NA', 'NA', [0, 3]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",16,5,6,13,"[3, -10, 3, 3, -4]",-75,0,"[[4, 0], 'NA', [4, 0], [4, 0], [0, 2]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,4,4,11,"[3, -10, 3, -1]",-41,0,"[[4, 0], 'NA', [4, 0], [0, 0]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",16,4,4,11,"[3, -10, 3, -1]",-41,0,"[[4, 0], 'NA', [4, 0], [0, 0]]"
22,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,4,4,11,"[3, -10, 3, -1]",-41,0,"[[4, 0], 'NA', [4, 0], [0, 0]]"
23,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,6,7,14,"[-2, 3, -10, 6, 3, -5]",-95,0,"[[0, 1], [4, 0], 'NA', 'NA', [4, 0], [0, 4]]"
24,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,4,5,12,"[3, -10, 6, -4]",-57,0,"[[4, 0], 'NA', 'NA', [0, 3]]"
25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,5,5,12,"[1, 3, -10, 6, -5]",-57,0,"[[2, 0], [4, 0], 'NA', 'NA', [0, 4]]"
26,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,5,5,12,"[-2, -2, 3, -10, 6]",-57,0,"[[0, 1], [0, 1], [4, 0], 'NA', 'NA']"
27,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,5,6,13,"[3, -10, 3, 3, -4]",-75,0,"[[4, 0], 'NA', [4, 0], [4, 0], [0, 2]]"
28,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,4,4,11,"[3, -10, 3, -1]",-41,0,"[[4, 0], 'NA', [4, 0], [0, 0]]"
29,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",19,4,4,11,"[3, -10, 3, -1]",-41,0,"[[4, 0], 'NA', [4, 0], [0, 0]]"
30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",19,4,4,11,"[3, -10, 3, -1]",-41,0,"[[4, 0], 'NA', [4, 0], [0, 0]]"
31,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",18,4,6,13,"[9, -5, -15, 6]",-75,0,"['NA', [0, 4], 'NA', 'NA']"
32,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,4,3,10,"[9, -5, -5, -4]",-27,0,"['NA', [0, 4], [0, 4], [0, 2]]"
33,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",16,3,3,10,"[6, -5, -6]",-27,0,"['NA', [0, 4], [0, 5]]"
34,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",17,3,3,10,"[6, -5, -6]",-27,0,"['NA', [0, 4], [0, 5]]"
35,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[4, -1, -1, -1]","[1, -3, -3, -3]",16,5,5,12,"[-2, 9, -5, -10, 3]",-57,0,"[[0, 1], 'NA', [0, 4], 'NA', [4, 0]]"
