,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",6,4,1,7,"[0, -6, 0, 3]",-3,0,"['NA', 'NA', 'NA', [4, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",6,5,1,7,"[0, -6, 0, 6, -3]",-3,0,"['NA', 'NA', [1, 0], 'NA', [0, 2]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",6,5,1,7,"[0, -6, 0, 3, 0]",-3,0,"['NA', 'NA', [1, 0], [4, 0], [1, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",5,4,1,7,"[0, -6, 9, -6]",-3,0,"['NA', 'NA', 'NA', 'NA']"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",6,4,1,7,"[0, -6, 3, 0]",-3,0,"['NA', 'NA', [4, 0], [2, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",5,5,1,7,"[0, 0, -6, 6, -3]",-3,0,"[[1, 0], 'NA', 'NA', 'NA', [0, 2]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",6,4,1,7,"[0, -6, 3, 0]",-3,0,"['NA', 'NA', [4, 0], [2, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",6,4,0,6,"[0, -4, 0, 1]",4,0,"['NA', 'NA', 'NA', [2, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",5,4,0,6,"[0, -4, 0, 1]",4,0,"['NA', 'NA', 'NA', [2, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",6,4,0,6,"[0, -4, 0, 1]",4,0,"['NA', 'NA', [1, 0], [2, 0]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, -1, -3, 0]",5,4,0,6,"[0, -4, 0, 1]",4,0,"['NA', 'NA', [1, 0], [2, 0]]"
