,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",8,4,2,10,"[-8, -3, 2, 4]",-16,0,"['NA', 'NA', 'NA', [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",8,5,3,11,"[-6, -3, 1, 8, -5]",-29,0,"['NA', 'NA', [2, 0], 'NA', [0, 4]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",8,5,2,10,"[-6, -3, 1, 4, -1]",-16,0,"['NA', 'NA', [2, 0], [5, 0], [0, 0]]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",7,4,3,11,"[-4, -3, 12, -10]",-29,0,"['NA', 'NA', 'NA', 'NA']"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",8,4,2,10,"[-4, -3, 4, -2]",-16,0,"['NA', 'NA', [5, 0], [0, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",8,5,3,11,"[-1, -4, -3, 8, -5]",-29,0,"[[0, 0], 'NA', 'NA', 'NA', [0, 4]]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",9,4,2,10,"[-4, -3, 4, -2]",-16,0,"['NA', 'NA', [5, 0], [0, 0]]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",8,4,0,8,"[-8, -2, 3, 2]",4,0,"['NA', 'NA', 'NA', [3, 0]]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",8,4,0,8,"[-8, -2, 2, 3]",4,0,"['NA', 'NA', 'NA', [4, 0]]"
9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",8,4,0,8,"[-6, -2, 1, 2]",4,0,"['NA', 'NA', [2, 0], [3, 0]]"
10,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",9,4,0,8,"[-6, -2, 1, 2]",4,0,"['NA', 'NA', [2, 0], [3, 0]]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",9,3,0,8,"[-4, -2, 1]",4,0,"['NA', 'NA', [2, 0]]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",8,3,0,8,"[-4, -2, 1]",4,0,"['NA', 'NA', [2, 0]]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",10,3,0,8,"[-4, -2, 1]",4,0,"['NA', 'NA', [2, 0]]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",9,3,0,8,"[-4, -2, 1]",4,0,"['NA', 'NA', [2, 0]]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",9,6,2,10,"[-6, -2, 2, 4, 2, -5]",-16,0,"['NA', 'NA', 'NA', [5, 0], [3, 0], [0, 4]]"
16,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",9,5,2,10,"[-6, -2, 2, 4, -3]",-16,0,"['NA', 'NA', 'NA', [5, 0], [0, 2]]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",9,6,2,10,"[3, -6, -2, 1, 4, -5]",-16,0,"[[4, 0], 'NA', 'NA', [2, 0], [5, 0], [0, 4]]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",10,5,2,10,"[-6, -2, 1, 4, -2]",-16,0,"['NA', 'NA', [2, 0], [5, 0], [0, 1]]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",9,5,2,10,"[2, -4, -2, 4, -5]",-16,0,"[[3, 0], 'NA', 'NA', [5, 0], [0, 4]]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",10,4,2,10,"[-4, -2, 4, -3]",-16,0,"['NA', 'NA', [5, 0], [0, 2]]"
21,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[5, -2, -2, -1]","[1, -2, -4, 2]",10,5,2,10,"[2, -4, -2, 4, -5]",-16,0,"[[3, 0], 'NA', 'NA', [5, 0], [0, 4]]"
